L	N	Va	genlen	r	t0	t1	cov	gen
10	1e3	0.001	0.5	0.31606027941427883	5	40	1.620588727411002e-7	40
10	1e3	0.001	0.5	0.31606027941427883	5	41	-1.0024160653828464e-5	41
10	1e3	0.001	0.5	0.31606027941427883	5	42	-1.7573335170261856e-6	42
10	1e3	0.001	0.5	0.31606027941427883	5	43	6.181994585136845e-6	43
10	1e3	0.001	0.5	0.31606027941427883	5	44	3.863264414039283e-6	44
10	1e3	0.001	0.5	0.31606027941427883	5	45	-7.253455606047993e-6	45
10	1e3	0.001	0.5	0.31606027941427883	5	46	-4.791182627036417e-6	46
10	1e3	0.001	0.5	0.31606027941427883	5	47	-4.1044412248156195e-6	47
10	1e3	0.001	0.5	0.31606027941427883	5	48	8.869207230550588e-6	48
10	1e3	0.001	0.5	0.31606027941427883	5	49	-3.1316146125969654e-6	49
10	1e3	0.001	0.5	0.31606027941427883	5	50	-1.0759890800670275e-5	50
10	1e3	0.001	1.5	0.475106465816068	2	5	5.461789657787873e-7	2
10	1e3	0.001	1.5	0.475106465816068	3	5	4.229336175449513e-6	3
10	1e3	0.001	1.5	0.475106465816068	4	5	8.619801133501824e-6	4
10	1e3	0.001	1.5	0.475106465816068	5	6	8.237281826910834e-6	6
10	1e3	0.001	1.5	0.475106465816068	5	7	-1.876107666185016e-6	7
10	1e3	0.001	1.5	0.475106465816068	5	8	-2.659635601533835e-6	8
10	1e3	0.001	1.5	0.475106465816068	5	9	-5.430865836329781e-6	9
10	1e3	0.001	1.5	0.475106465816068	5	10	1.7451040563240666e-7	10
10	1e3	0.001	1.5	0.475106465816068	5	11	2.6299793924792385e-06	11
10	1e3	0.001	1.5	0.475106465816068	5	12	1.7509800186924255e-6	12
10	1e3	0.001	1.5	0.475106465816068	5	13	1.862635389324939e-6	13
10	1e3	0.001	1.5	0.475106465816068	5	14	-1.005336607210524e-5	14
10	1e3	0.001	1.5	0.475106465816068	5	15	1.2055920188720122e-6	15
10	1e3	0.001	1.5	0.475106465816068	5	16	1.84118688048673e-6	16
10	1e3	0.001	1.5	0.475106465816068	5	17	-1.2821325186697887e-7	17
10	1e3	0.001	1.5	0.475106465816068	5	18	-4.776616319102413e-6	18
10	1e3	0.001	1.5	0.475106465816068	5	19	4.696451974786439e-6	19
10	1e3	0.001	1.5	0.475106465816068	5	20	-3.2830486556401733e-6	20
10	1e3	0.001	1.5	0.475106465816068	5	21	1.3382709625816493e-5	21
10	1e3	0.001	1.5	0.475106465816068	5	22	-2.8086304797066903e-7	22
10	1e3	0.001	1.5	0.475106465816068	5	23	-4.74915887206645e-6	23
10	1e3	0.001	1.5	0.475106465816068	5	24	-3.425707079317175e-6	24
10	1e3	0.001	1.5	0.475106465816068	5	25	1.7359140500660185e-6	25
10	1e3	0.001	1.5	0.475106465816068	5	26	3.0508469598565577e-6	26
10	1e3	0.001	1.5	0.475106465816068	5	27	-3.62442212982936e-6	27
10	1e3	0.001	1.5	0.475106465816068	5	28	-4.58056577289209e-7	28
10	1e3	0.001	1.5	0.475106465816068	5	29	3.714846423634865e-7	29
10	1e3	0.001	1.5	0.475106465816068	5	30	1.854082759669964e-6	30
10	1e3	0.001	1.5	0.475106465816068	5	31	-8.339976052331412e-6	31
10	1e3	0.001	1.5	0.475106465816068	5	32	3.807509532334888e-6	32
10	1e3	0.001	1.5	0.475106465816068	5	33	-1.8741475834696775e-6	33
10	1e3	0.001	1.5	0.475106465816068	5	34	8.004795004089336e-6	34
10	1e3	0.001	1.5	0.475106465816068	5	35	-7.3918331604937144e-6	35
10	1e3	0.001	1.5	0.475106465816068	5	36	8.113358478471052e-6	36
10	1e3	0.001	1.5	0.475106465816068	5	37	3.802606352435713e-6	37
10	1e3	0.001	1.5	0.475106465816068	5	38	1.4389371315079784e-5	38
10	1e3	0.001	1.5	0.475106465816068	5	39	8.746388846595775e-6	39
10	1e3	0.001	1.5	0.475106465816068	5	40	-3.748079915131793e-6	40
10	1e3	0.001	1.5	0.475106465816068	5	41	4.506381650246796e-6	41
10	1e3	0.001	1.5	0.475106465816068	5	42	-2.0411403890469838e-6	42
10	1e3	0.001	1.5	0.475106465816068	5	43	6.618727053129333e-6	43
10	1e3	0.001	1.5	0.475106465816068	5	44	-6.726915408091618e-6	44
10	1e3	0.001	1.5	0.475106465816068	5	45	-4.749904922245738e-6	45
10	1e3	0.001	1.5	0.475106465816068	5	46	1.198126514966306e-6	46
10	1e3	0.001	1.5	0.475106465816068	5	47	8.646493560547384e-6	47
10	1e3	0.001	1.5	0.475106465816068	5	48	-2.4489972386134836e-6	48
10	1e3	0.001	1.5	0.475106465816068	5	49	-1.1893682118662211e-5	49
10	1e3	0.001	1.5	0.475106465816068	5	50	4.1999134035874316e-6	50
10	1e3	0.01	0.01	0.009900663346622374	2	5	2.4077326915812058e-5	2
10	1e3	0.01	0.01	0.009900663346622374	3	5	1.1354334263994795e-5	3
10	1e3	0.01	0.01	0.009900663346622374	4	5	-7.536008852992141e-6	4
10	1e3	0.01	0.01	0.009900663346622374	5	6	4.5048793285194425e-4	6
10	1e3	0.01	0.01	0.009900663346622374	5	7	4.801881158325962e-4	7
10	1e3	0.01	0.01	0.009900663346622374	5	8	5.147081344928507e-4	8
10	1e3	0.01	0.01	0.009900663346622374	5	9	5.332803777613595e-4	9
10	1e3	0.01	0.01	0.009900663346622374	5	10	5.00672530293624e-4	10
10	1e3	0.01	0.01	0.009900663346622374	5	11	4.4064638176194296e-4	11
10	1e3	0.01	0.01	0.009900663346622374	5	12	4.7652651446406825e-4	12
10	1e3	0.01	0.01	0.009900663346622374	5	13	3.796171191984358e-4	13
10	1e3	0.01	0.01	0.009900663346622374	5	14	3.4930485498265633e-4	14
10	1e3	0.01	0.01	0.009900663346622374	5	15	4.2967391362645866e-4	15
10	1e3	0.01	0.01	0.009900663346622374	5	16	3.9468559058624113e-4	16
10	1e3	0.01	0.01	0.009900663346622374	5	17	2.9280671883861645e-4	17
10	1e3	0.01	0.01	0.009900663346622374	5	18	3.280697684464199e-4	18
10	1e3	0.01	0.01	0.009900663346622374	5	19	3.058509450642779e-4	19
10	1e3	0.01	0.01	0.009900663346622374	5	20	3.2349909508312186e-4	20
10	1e3	0.01	0.01	0.009900663346622374	5	21	2.4881618477698295e-4	21
10	1e3	0.01	0.01	0.009900663346622374	5	22	2.2590832037130287e-4	22
10	1e3	0.01	0.01	0.009900663346622374	5	23	2.4356335829912068e-4	23
10	1e3	0.01	0.01	0.009900663346622374	5	24	2.1495363306433868e-4	24
10	1e3	0.01	0.01	0.009900663346622374	5	25	1.6217993365562992e-4	25
10	1e3	0.01	0.01	0.009900663346622374	5	26	1.6920538690804273e-4	26
10	1e3	0.01	0.01	0.009900663346622374	5	27	1.5300214913601176e-4	27
10	1e3	0.01	0.01	0.009900663346622374	5	28	2.0207454376913565e-4	28
10	1e3	0.01	0.01	0.009900663346622374	5	29	1.3878084426589203e-4	29
10	1e3	0.01	0.01	0.009900663346622374	5	30	1.0630140161341887e-4	30
10	1e3	0.01	0.01	0.009900663346622374	5	31	8.230910971770729e-5	31
10	1e3	0.01	0.01	0.009900663346622374	5	32	1.0410247943791702e-4	32
10	1e3	0.01	0.01	0.009900663346622374	5	33	9.279090297131081e-5	33
10	1e3	0.01	0.01	0.009900663346622374	5	34	9.458221319850602e-5	34
10	1e3	0.01	0.01	0.009900663346622374	5	35	5.4863846788898956e-5	35
10	1e3	0.01	0.01	0.009900663346622374	5	36	6.0723701931309085e-5	36
10	1e3	0.01	0.01	0.009900663346622374	5	37	7.605161832905112e-5	37
10	1e3	0.01	0.01	0.009900663346622374	5	38	1.179526447161958e-5	38
10	1e3	0.01	0.01	0.009900663346622374	5	39	3.098619058172643e-5	39
10	1e3	0.01	0.01	0.009900663346622374	5	40	-3.2696105769116474e-5	40
10	1e3	0.01	0.01	0.009900663346622374	5	41	5.092394056809619e-5	41
10	1e3	0.01	0.01	0.009900663346622374	5	42	4.646837562260712e-5	42
10	1e3	0.01	0.01	0.009900663346622374	5	43	-5.1471016570200635e-6	43
10	1e3	0.01	0.01	0.009900663346622374	5	44	3.6521813779429725e-5	44
10	1e3	0.01	0.01	0.009900663346622374	5	45	8.045369410447896e-6	45
10	1e3	0.01	0.01	0.009900663346622374	5	46	-2.1993283324697634e-5	46
10	1e3	0.01	0.01	0.009900663346622374	5	47	3.994474176233029e-5	47
10	1e3	0.01	0.01	0.009900663346622374	5	48	6.536701579724642e-5	48
10	1e3	0.01	0.01	0.009900663346622374	5	49	6.335339167675066e-5	49
10	1e3	0.01	0.01	0.009900663346622374	5	50	1.3050571566730262e-5	50
10	1e3	0.01	0.1	0.09063462346100909	2	5	-6.738745753946631e-6	2
10	1e3	0.01	0.1	0.09063462346100909	3	5	-8.572379411677776e-6	3
10	1e3	0.01	0.1	0.09063462346100909	4	5	-1.2450389814587638e-5	4
10	1e3	0.01	0.1	0.09063462346100909	5	6	1.2401605872474418e-4	6
10	1e3	0.01	0.1	0.09063462346100909	5	7	1.0740546251564848e-4	7
10	1e3	0.01	0.1	0.09063462346100909	5	8	1.0303756859396321e-4	8
10	1e3	0.01	0.1	0.09063462346100909	5	9	1.1572084355810357e-4	9
10	1e3	0.01	0.1	0.09063462346100909	5	10	1.1482157604718533e-4	10
10	1e3	0.01	0.1	0.09063462346100909	5	11	9.931640955558971e-5	11
10	1e3	0.01	0.1	0.09063462346100909	5	12	8.05025665900022e-5	12
10	1e3	0.01	0.1	0.09063462346100909	5	13	1.0705691018440687e-4	13
10	1e3	0.01	0.1	0.09063462346100909	5	14	9.590400438153739e-5	14
10	1e3	0.01	0.1	0.09063462346100909	5	15	7.122448719767799e-5	15
10	1e3	0.01	0.1	0.09063462346100909	5	16	8.396515076275673e-5	16
10	1e3	0.01	0.1	0.09063462346100909	5	17	8.175187385856042e-5	17
10	1e3	0.01	0.1	0.09063462346100909	5	18	8.030343911730299e-5	18
10	1e3	0.01	0.1	0.09063462346100909	5	19	8.703258783936924e-5	19
10	1e3	0.01	0.1	0.09063462346100909	5	20	8.927070072570925e-5	20
10	1e3	0.01	0.1	0.09063462346100909	5	21	6.824018698578434e-5	21
10	1e3	0.01	0.1	0.09063462346100909	5	22	7.934447069254929e-5	22
10	1e3	0.01	0.1	0.09063462346100909	5	23	6.865936474165633e-5	23
10	1e3	0.01	0.1	0.09063462346100909	5	24	5.490424136623656e-5	24
10	1e3	0.01	0.1	0.09063462346100909	5	25	6.184299953332867e-5	25
10	1e3	0.01	0.1	0.09063462346100909	5	26	6.827233640654497e-5	26
10	1e3	0.01	0.1	0.09063462346100909	5	27	5.726791335135908e-5	27
10	1e3	0.01	0.1	0.09063462346100909	5	28	6.270396166395199e-5	28
10	1e3	0.01	0.1	0.09063462346100909	5	29	5.3503129195210254e-5	29
10	1e3	0.01	0.1	0.09063462346100909	5	30	5.1838729027731074e-5	30
10	1e3	0.01	0.1	0.09063462346100909	5	31	5.9049434076669225e-5	31
10	1e3	0.01	0.1	0.09063462346100909	5	32	5.896011668950292e-5	32
10	1e3	0.01	0.1	0.09063462346100909	5	33	4.5379128784302945e-5	33
10	1e3	0.01	0.1	0.09063462346100909	5	34	2.8973287071288045e-5	34
10	1e3	0.01	0.1	0.09063462346100909	5	35	4.390574820010918e-5	35
10	1e3	0.01	0.1	0.09063462346100909	5	36	2.310067547661841e-5	36
10	1e3	0.01	0.1	0.09063462346100909	5	37	2.8163738917638927e-5	37
10	1e3	0.01	0.1	0.09063462346100909	5	38	3.4360350745053054e-5	38
10	1e3	0.01	0.1	0.09063462346100909	5	39	2.7800410006683273e-5	39
10	1e3	0.01	0.1	0.09063462346100909	5	40	1.8551524572465943e-5	40
10	1e3	0.01	0.1	0.09063462346100909	5	41	2.308684613794488e-5	41
10	1e3	0.01	0.1	0.09063462346100909	5	42	2.8392385058596223e-5	42
10	1e3	0.01	0.1	0.09063462346100909	5	43	1.4104207487164095e-5	43
10	1e3	0.01	0.1	0.09063462346100909	5	44	1.9895340982138712e-5	44
10	1e3	0.01	0.1	0.09063462346100909	5	45	1.013182481703584e-5	45
10	1e3	0.01	0.1	0.09063462346100909	5	46	2.2557397439293466e-5	46
10	1e3	0.01	0.1	0.09063462346100909	5	47	8.015592921398777e-6	47
10	1e3	0.01	0.1	0.09063462346100909	5	48	6.065956767489549e-6	48
10	1e3	0.01	0.1	0.09063462346100909	5	49	1.493435899802954e-5	49
10	1e3	0.01	0.1	0.09063462346100909	5	50	1.4546182502816939e-5	50
10	1e3	0.01	0.5	0.31606027941427883	2	5	-7.253537377455532e-6	2
10	1e3	0.01	0.5	0.31606027941427883	3	5	-4.3450753361258085e-06	3
10	1e3	0.01	0.5	0.31606027941427883	4	5	2.1194803703132776e-6	4
10	1e3	0.01	0.5	0.31606027941427883	5	6	3.6474407459422834e-5	6
10	1e3	0.01	0.5	0.31606027941427883	5	7	3.204341332488725e-5	7
10	1e3	0.01	0.5	0.31606027941427883	5	8	3.116652412993341e-5	8
10	1e3	0.01	0.5	0.31606027941427883	5	9	2.936059530070835e-5	9
10	1e3	0.01	0.5	0.31606027941427883	5	10	1.4454682841803195e-5	10
10	1e3	0.01	0.5	0.31606027941427883	5	11	2.2472929695971074e-5	11
10	1e3	0.01	0.5	0.31606027941427883	5	12	2.0463658414852957e-5	12
10	1e3	0.01	0.5	0.31606027941427883	5	13	9.949238529847674e-6	13
10	1e3	0.01	0.5	0.31606027941427883	5	14	3.3010888055542424e-5	14
10	1e3	0.01	0.5	0.31606027941427883	5	15	2.9923019187723836e-5	15
10	1e3	0.01	0.5	0.31606027941427883	5	16	3.024493526193701e-5	16
10	1e3	0.01	0.5	0.31606027941427883	5	17	2.5041906052922373e-5	17
10	1e3	0.01	0.5	0.31606027941427883	5	18	2.066621189827154e-5	18
10	1e3	0.01	0.5	0.31606027941427883	5	19	1.3439700535436075e-5	19
10	1e3	0.01	0.5	0.31606027941427883	5	20	1.0850933540056572e-5	20
10	1e3	0.01	0.5	0.31606027941427883	5	21	2.2415052591321297e-5	21
10	1e3	0.01	0.5	0.31606027941427883	5	22	2.497281847521438e-5	22
10	1e3	0.01	0.5	0.31606027941427883	5	23	1.7307774933786403e-5	23
10	1e3	0.01	0.5	0.31606027941427883	5	24	8.687646948284918e-6	24
10	1e3	0.01	0.5	0.31606027941427883	5	25	1.5608619522356467e-5	25
10	1e3	0.01	0.5	0.31606027941427883	5	26	1.929718893881836e-5	26
10	1e3	0.01	0.5	0.31606027941427883	5	27	1.6263158589160718e-5	27
10	1e3	0.01	0.5	0.31606027941427883	5	28	1.3321479631640314e-5	28
10	1e3	0.01	0.5	0.31606027941427883	5	29	1.2230890498759646e-5	29
10	1e3	0.01	0.5	0.31606027941427883	5	30	2.4235657922493715e-5	30
10	1e3	0.01	0.5	0.31606027941427883	5	31	9.659332429479023e-6	31
10	1e3	0.01	0.5	0.31606027941427883	5	32	1.4157492813129611e-5	32
10	1e3	0.01	0.5	0.31606027941427883	5	33	1.3242486594151404e-5	33
10	1e3	0.01	0.5	0.31606027941427883	5	34	1.2865280647671718e-5	34
10	1e3	0.01	0.5	0.31606027941427883	5	35	1.8137452430119393e-5	35
10	1e3	0.01	0.5	0.31606027941427883	5	36	1.2462968505990613e-5	36
10	1e3	0.01	0.5	0.31606027941427883	5	37	1.3414402229354663e-6	37
10	1e3	0.01	0.5	0.31606027941427883	5	38	1.6053152532180175e-5	38
10	1e3	0.01	0.5	0.31606027941427883	5	39	-6.686957718724217e-7	39
10	1e3	0.01	0.5	0.31606027941427883	5	40	8.035320114310708e-6	40
10	1e3	0.01	0.5	0.31606027941427883	5	41	1.0552178578118027e-5	41
10	1e3	0.01	0.5	0.31606027941427883	5	42	1.2999968453877041e-5	42
10	1e3	0.01	0.5	0.31606027941427883	5	43	3.1358532490511435e-6	43
10	1e3	0.01	0.5	0.31606027941427883	5	44	1.4428565741688681e-5	44
10	1e3	0.01	0.5	0.31606027941427883	5	45	1.6245902451415447e-5	45
10	1e3	0.01	0.5	0.31606027941427883	5	46	1.2724875117766695e-5	46
10	1e3	0.01	0.5	0.31606027941427883	5	47	-1.5460125756666821e-6	47
10	1e3	0.01	0.5	0.31606027941427883	5	48	4.041501682632953e-6	48
10	1e3	0.01	0.5	0.31606027941427883	5	49	3.589338871647914e-6	49
10	1e3	0.01	0.5	0.31606027941427883	5	50	6.787702860043671e-6	50
10	1e3	0.01	1.5	0.475106465816068	2	5	2.0681382448997328e-6	2
10	1e3	0.01	1.5	0.475106465816068	3	5	1.9814691616168245e-6	3
10	1e3	0.01	1.5	0.475106465816068	4	5	4.6929470146000086e-6	4
10	1e3	0.01	1.5	0.475106465816068	5	6	1.7169858602351876e-5	6
10	1e3	0.01	1.5	0.475106465816068	5	7	1.414305495391958e-5	7
10	1e3	0.01	1.5	0.475106465816068	5	8	1.7352381777488688e-5	8
10	1e3	0.01	1.5	0.475106465816068	5	9	1.1904488627873514e-5	9
10	1e3	0.01	1.5	0.475106465816068	5	10	1.8776718721472485e-5	10
